,open,high,low,close,volume,value
2017-09-25 09:00:00,200.0,205.0,199.0,203.0,0.0213,4.3206
2017-09-26 09:00:00,203.0,217.0,203.0,211.0,0.0516,10.6613
2017-09-27 09:00:00,211.0,235.0,209.0,232.0,0.0504,11.3092
2017-09-28 09:00:00,233.0,235.0,215.0,222.0,0.0498,11.2001
2017-09-29 09:00:00,221.0,223.0,212.0,220.0,0.0523,11.4611
2017-09-30 09:00:00,220.0,228.0,219.0,224.0,0.0525,11.7706
2017-10-01 09:00:00,225.0,235.0,220.0,234.0,0.0524,11.7882
2017-10-02 09:00:00,235.0,237.0,227.0,232.0,0.0524,12.1925
2017-10-03 09:00:00,232.0,235.0,225.0,235.0,0.0489,11.3182
2017-10-04 09:00:00,234.0,253.0,231.0,248.0,0.047,11.2467
2017-10-05 09:00:00,248.0,278.0,248.0,271.0,0.0471,12.4035
2017-10-06 09:00:00,272.0,278.0,265.0,269.0,0.0495,13.4187
2017-10-07 09:00:00,270.0,275.0,265.0,273.0,0.0521,14.0305
2017-10-08 09:00:00,273.0,319.0,269.0,319.0,0.0519,14.9095
2017-10-09 09:00:00,318.0,318.0,276.0,286.0,0.0518,15.7992
2017-10-10 09:00:00,286.0,307.0,276.0,298.0,0.0516,14.9609
2017-10-11 09:00:00,300.0,307.0,294.0,303.0,0.0512,15.3914
2017-10-12 09:00:00,304.0,306.0,282.0,286.0,0.0512,15.1291
2017-10-13 09:00:00,285.0,303.0,273.0,294.0,0.0511,14.6753
2017-10-14 09:00:00,296.0,305.0,287.0,287.0,0.0516,15.3153
2017-10-15 09:00:00,290.0,305.0,285.0,299.0,0.0514,15.1691
2017-10-16 09:00:00,296.0,342.0,281.0,290.0,0.0503,15.2967
2017-10-17 09:00:00,292.0,300.0,247.0,261.0,0.0596,16.8229
2017-10-18 09:00:00,262.0,273.0,235.0,249.0,81.0197,19832.1504
2017-10-19 09:00:00,248.0,260.0,233.0,245.0,235.0,57348.0
2017-10-20 09:00:00,242.0,255.0,237.0,238.0,64.93,16091.19
2017-10-24 09:00:00,233.0,252.0,227.0,239.0,2.17,520.49
2017-10-25 09:00:00,241.0,241.0,228.0,233.0,2.33,543.83
2017-10-26 09:00:00,233.0,238.0,229.0,231.0,2.34,545.51
2017-10-27 09:00:00,233.0,235.0,229.0,233.0,2.34,544.77
2017-10-28 09:00:00,232.0,235.0,230.0,232.0,2.17,504.63
2017-10-29 09:00:00,232.0,235.0,224.0,228.0,2.36,542.23
2017-10-30 09:00:00,229.0,232.0,227.0,229.0,3.52,806.44
2017-10-31 09:00:00,229.0,232.0,224.0,229.0,2.0,458.14
2017-11-01 09:00:00,229.0,231.0,216.0,219.0,2.23,500.22
2017-11-02 09:00:00,220.0,241.0,207.0,236.0,2.31,508.33
2017-11-03 09:00:00,236.0,300.0,226.0,235.0,2.31,544.69
2017-11-04 09:00:00,235.0,236.0,223.0,227.0,2.31,528.4
2017-11-05 09:00:00,227.0,231.0,225.0,228.0,1.5,342.01
2017-11-06 09:00:00,231.0,239.0,228.0,235.0,0.72,165.84
2017-11-07 09:00:00,233.0,239.0,230.0,239.0,5.6,1305.87
2017-11-08 09:00:00,239.0,248.0,231.0,243.0,5.86,1385.43
2017-11-09 09:00:00,244.0,256.0,240.0,247.0,5.99,1477.69
2017-11-10 09:00:00,247.0,249.0,228.0,233.0,5.95,1425.55
2017-11-11 09:00:00,234.0,244.0,228.0,241.0,5.93,1408.45
2017-11-12 09:00:00,239.0,241.0,225.0,234.0,3.69,862.86
2017-11-13 09:00:00,234.0,260.0,227.0,231.0,15508416.33294054,3579217382.9588118
2017-11-14 09:00:00,232.0,248.0,230.0,237.0,19620043.8391891,4635403018.52836
2017-11-15 09:00:00,237.0,241.0,234.0,239.0,7455245.02789665,1768563300.6382806
2017-11-16 09:00:00,239.0,345.0,234.0,254.0,78652296.63194436,22435732130.950386
2017-11-17 09:00:00,253.0,272.0,242.0,249.0,37724652.83472599,9591723854.205278
2017-11-18 09:00:00,248.0,256.0,243.0,251.0,12614820.79763018,3140796040.688725
2017-11-19 09:00:00,251.0,265.0,249.0,253.0,16382877.12181512,4168313066.8885164
2017-11-20 09:00:00,253.0,268.0,253.0,262.0,19148283.17267468,5007949376.225007
2017-11-21 09:00:00,262.0,268.0,248.0,254.0,17958001.31170685,4648268274.22769
2017-11-22 09:00:00,255.0,274.0,255.0,262.0,14420989.19341099,3766110310.12418
2017-11-23 09:00:00,262.0,279.0,260.0,268.0,26384894.44359807,7050200611.006906
2017-11-24 09:00:00,268.0,273.0,259.0,267.0,36972225.94812914,9787909668.095825
2017-11-25 09:00:00,267.0,282.0,264.0,279.0,34362088.77893303,9369071112.024572
2017-11-26 09:00:00,279.0,280.0,272.0,274.0,18084374.36533394,4991054533.311943
2017-11-27 09:00:00,274.0,290.0,273.0,288.0,18961262.8594641,5328577211.630995
2017-11-28 09:00:00,288.0,346.0,284.0,339.0,87669124.24836314,27164188062.48401
2017-11-29 09:00:00,341.0,341.0,258.0,266.0,61744996.93657723,19554570250.284473
2017-11-30 09:00:00,266.0,300.0,250.0,282.0,49590274.12732022,13651688139.409058
2017-12-01 09:00:00,281.0,292.0,267.0,287.0,33465260.19266295,9427970378.088455
2017-12-02 09:00:00,287.0,296.0,274.0,290.0,25157029.80021524,7263976329.098926
2017-12-03 09:00:00,290.0,296.0,283.0,287.0,45140751.76782877,13054969695.192873
2017-12-04 09:00:00,287.0,293.0,285.0,289.0,38529543.34746324,11157691668.839996
2017-12-05 09:00:00,289.0,300.0,287.0,292.0,25099750.22220175,7335362854.839649
2017-12-06 09:00:00,292.0,300.0,281.0,290.0,31836085.87180563,9243545863.623995
2017-12-07 09:00:00,289.0,297.0,267.0,287.0,25620374.79991947,7353272198.29191
2017-12-08 09:00:00,287.0,411.0,271.0,298.0,177582441.22093073,58487092208.408905
2017-12-09 09:00:00,298.0,309.0,270.0,284.0,41356986.65915704,11967128331.386366
2017-12-10 09:00:00,284.0,286.0,240.0,269.0,49479144.06454919,12922330491.290932
2017-12-11 09:00:00,268.0,288.0,267.0,288.0,29488851.00347878,8256747122.600061
2017-12-12 09:00:00,288.0,566.0,276.0,435.0,486269701.9850885,195875542184.86752
2017-12-13 09:00:00,435.0,583.0,382.0,523.0,1234508464.703475,615852631002.7092
2017-12-14 09:00:00,523.0,994.0,511.0,940.0,1574952264.6902013,1147510948730.0627
2017-12-15 09:00:00,943.0,945.0,755.0,844.0,710829072.1092148,613969125226.6476
